student_id,name,gender,age,grade_level,math_score,english_score,science_score,attendance_rate,teacher_remark
STU0069,Chad Hodges,Male,5,Primary 3,72,61,48,84.2,Excellent
STU0070,Katie Anderson,Female,8,Primary 3,55,90,66,81.0,Excellent
STU0071,Thomas Pierce,Female,9,Primary 1,89,44,48,91.48,Good
STU0072,Joseph Brennan,Female,7,Nursery 1,64,55,72,85.38,Excellent
STU0073,Rodney Lewis,Male,9,Primary 4,65,77,61,88.88,Good
STU0074,Amber Blair,Female,3,Primary 3,64,59,69,80.63,Outstanding
STU0075,James Collins,Female,7,Primary 3,78,45,87,87.13,Good
STU0076,Wanda Santos,Female,7,Primary 2,51,44,47,81.86,Needs Improvement
STU0077,Samuel Holmes,Male,7,Nursery 2,66,59,85,96.34,Outstanding
STU0078,David Walker,Female,7,Primary 2,99,85,93,85.77,Satisfactory
STU0079,Matthew Chapman,Male,7,Nursery 2,93,84,56,91.22,Satisfactory
STU0080,Jerry Robinson,Male,3,Primary 4,60,99,64,81.78,Good
STU0081,Chad Welch,Male,7,Primary 3,45,100,67,92.95,Needs Improvement
STU0082,Jeremy Whitehead,Male,7,Primary 1,63,42,58,89.58,Outstanding
STU0083,Michele Jones,Male,10,Primary 4,78,93,43,92.53,Good
STU0084,John Caldwell,Female,3,Nursery 2,95,49,55,81.9,Outstanding
STU0085,Jason Anderson,Female,3,Primary 3,87,74,48,98.43,Needs Improvement
STU0086,Selena Duncan,Female,3,Primary 2,62,80,63,86.61,Good
STU0087,Thomas Mueller,Male,8,Primary 3,87,44,91,90.76,Excellent
STU0088,Lindsey Lee,Female,8,Nursery 1,99,71,92,86.74,Satisfactory
STU0089,Collin Jordan,Female,4,KG,83,66,68,81.56,Outstanding
STU0090,Rodney Owens,Female,3,Primary 2,99,59,57,94.23,Needs Improvement
STU0091,Jessica Nunez,Male,6,Nursery 1,95,57,62,83.79,Excellent
STU0092,Tracey Garcia,Female,3,Primary 2,75,92,69,83.86,Excellent
STU0093,Richard Morgan,Female,9,Nursery 2,49,82,76,93.95,Good
STU0094,Michelle Wright,Male,3,Primary 2,78,80,56,97.02,Outstanding
STU0095,James West,Female,3,Nursery 1,62,78,55,82.16,Excellent
STU0096,Robert Ramirez,Female,10,Nursery 2,93,45,88,80.47,Satisfactory
STU0097,John Leblanc,Male,9,Nursery 1,47,46,64,80.82,Satisfactory
STU0098,Scott Callahan,Female,10,Nursery 2,83,46,63,91.66,Outstanding
STU0099,Andrea Williams,Male,7,Primary 1,54,73,63,82.34,Needs Improvement
STU0100,Yvette Huff,Female,6,Primary 3,80,82,86,86.28,Satisfactory
STU0101,Tanya House,Male,5,KG,70,47,54,98.79,Good
STU0102,Melinda Martin,Male,7,Primary 4,42,87,100,95.58,Satisfactory
STU0103,Todd Lewis,Male,8,Nursery 2,100,60,99,90.85,Outstanding
STU0104,Richard Brown,Female,5,Nursery 1,78,71,48,88.69,Outstanding
STU0105,Nicholas Galloway,Male,9,Nursery 2,67,84,45,97.71,Excellent
STU0106,Joseph Bowers,Male,5,Nursery 1,40,50,91,90.79,Excellent
STU0107,Spencer Henderson,Female,5,Primary 4,81,94,72,81.04,Excellent
STU0108,Susan Cowan,Female,10,Primary 1,56,53,72,93.87,Satisfactory
STU0109,Angela Higgins,Female,9,Primary 4,68,77,85,99.13,Outstanding
STU0110,Eric Phillips,Female,4,Nursery 1,54,49,50,93.52,Good
STU0111,Tanya Riley,Female,9,Primary 3,82,75,76,99.59,Satisfactory
STU0112,Amy Adkins,Female,5,Nursery 1,79,87,63,93.16,Excellent
STU0113,Brian Silva,Male,4,Primary 4,59,56,48,83.16,Satisfactory
STU0114,Wesley Farrell,Female,4,Nursery 1,100,92,71,90.05,Outstanding
STU0115,Eric Yu,Female,3,Nursery 1,96,98,74,98.32,Excellent
STU0116,Christopher Lopez,Male,5,Primary 2,65,95,44,94.48,Satisfactory
STU0117,Brooke Leonard,Male,6,Primary 1,85,92,45,99.18,Satisfactory
STU0118,Joe Wilson,Male,9,Primary 1,56,44,58,84.7,Needs Improvement
STU0119,Pamela Sanchez,Male,6,Nursery 1,69,43,95,99.17,Needs Improvement
STU0120,Brooke Harvey,Female,4,Primary 2,89,73,73,92.07,Satisfactory
STU0121,Robert Silva,Male,9,KG,45,56,68,96.85,Good
STU0122,Alexandra Donovan,Female,9,Primary 2,100,67,49,97.54,Excellent
STU0123,James Moran,Female,5,Primary 2,54,48,70,90.7,Needs Improvement
STU0124,John Foster,Female,4,Primary 4,67,65,84,92.06,Excellent
STU0125,Emily Evans,Male,9,Nursery 1,74,55,45,93.66,Outstanding
STU0126,Leslie Walton,Female,9,Primary 3,61,94,61,91.06,Outstanding
STU0127,Charles Ellis,Male,6,Primary 1,40,76,55,94.52,Good
STU0128,Yolanda Ferrell,Female,8,Primary 3,95,47,65,83.7,Needs Improvement
STU0129,Charles Lewis,Male,10,Nursery 1,48,67,50,94.81,Needs Improvement
STU0130,Joseph Mahoney,Female,3,KG,88,94,87,86.14,Outstanding
STU0131,Nicole Suarez,Female,3,Primary 3,47,57,87,81.63,Needs Improvement
STU0132,Mike Moore,Male,4,Nursery 2,73,77,47,86.06,Excellent
STU0133,Martha Warner,Female,8,KG,99,70,43,86.44,Outstanding
STU0134,Cheryl Archer,Female,8,Nursery 2,93,76,49,85.68,Good
STU0135,Destiny Smith,Female,5,Primary 2,41,67,94,88.55,Needs Improvement
STU0136,Lisa Evans,Female,6,Nursery 2,100,78,80,93.29,Good
STU0137,Elizabeth Mcmillan,Female,10,Nursery 2,63,94,71,96.35,Outstanding
STU0138,Dennis Wilson,Female,8,Nursery 1,97,84,79,91.66,Outstanding
STU0139,Daniel Tran,Female,5,Primary 4,79,50,100,92.36,Satisfactory
STU0140,Joseph Jacobs,Male,4,Primary 1,73,96,69,98.24,Excellent
STU0141,Jennifer Harris,Male,5,Primary 2,64,50,79,89.46,Needs Improvement
STU0142,Cynthia Baker,Female,7,Primary 4,86,66,59,84.9,Needs Improvement
STU0143,Tracy Whitehead,Female,4,Primary 1,44,40,62,89.14,Needs Improvement
STU0144,Meghan Davis,Female,6,Primary 4,92,46,91,88.72,Needs Improvement
STU0145,Rodney Hill,Male,8,Nursery 2,83,87,87,85.57,Good
STU0146,Adam Wise,Female,3,Nursery 2,63,56,85,86.87,Good
STU0147,Dana Green,Male,10,Primary 2,100,60,84,89.09,Needs Improvement
STU0148,Joyce Arnold,Male,8,Primary 1,76,75,84,91.15,Good
STU0149,Ronald Smith,Female,6,Nursery 2,69,58,50,81.89,Good
STU0150,Charles Ware,Female,3,Nursery 1,58,100,59,85.53,Needs Improvement
STU0151,Rebecca Gardner,Female,5,KG,65,63,89,82.54,Good
STU0152,Mary Aguilar,Female,4,Primary 2,65,82,40,86.35,Needs Improvement
STU0153,Earl Anderson,Female,4,Nursery 1,54,50,43,95.66,Good
STU0154,Kyle Nolan,Male,3,KG,88,95,45,81.22,Excellent
STU0155,Laura Valencia,Female,8,Nursery 2,58,65,93,80.4,Good
STU0156,Rachel Clark,Female,3,Primary 2,78,74,64,88.56,Needs Improvement
STU0157,John Garcia,Male,9,Primary 3,71,68,79,88.05,Needs Improvement
STU0158,Kimberly Henson,Male,10,Nursery 2,73,63,88,89.53,Satisfactory
STU0159,Richard Oliver,Male,3,Primary 4,59,100,88,87.25,Good
STU0160,Eric Spears,Male,3,Primary 3,67,98,89,87.81,Outstanding
STU0161,Michelle Cherry,Female,8,Primary 2,57,52,52,81.36,Good
STU0162,Lisa Keith,Female,10,Nursery 2,55,49,65,80.27,Needs Improvement
STU0163,Angel Doyle,Male,7,Primary 4,53,49,89,83.4,Outstanding
STU0164,Martin Galvan,Female,10,Nursery 2,45,100,58,93.69,Good
STU0165,Leah Shields,Female,4,KG,74,91,52,97.66,Needs Improvement
STU0166,Lisa Adams,Male,8,Primary 2,50,82,73,94.06,Satisfactory
STU0167,Kristin Rodriguez,Male,9,Nursery 1,53,63,91,81.29,Needs Improvement
STU0168,Monica Garrison,Male,3,Nursery 1,78,72,91,98.53,Excellent
STU0169,Jeffrey Velasquez,Female,8,Nursery 2,42,56,75,97.67,Outstanding
STU0170,Steven Torres,Male,7,Primary 3,91,46,73,91.23,Good
STU0171,Laura Perez,Female,5,Primary 1,49,48,46,87.78,Good
STU0172,Andrew Lee,Male,5,Primary 1,54,89,72,93.52,Outstanding
STU0173,Mark Lin,Female,6,Primary 4,64,73,46,84.24,Good
STU0174,Tammy Ramirez,Male,3,Nursery 1,70,76,43,80.51,Good
STU0175,Darlene Ross,Female,9,Primary 4,51,46,40,87.67,Good
STU0176,Tina Herrera,Male,6,KG,76,45,54,98.91,Excellent
STU0177,Sheila Wilson,Female,4,Nursery 2,58,86,72,91.5,Excellent
STU0178,Tara White,Female,3,Primary 4,81,61,40,96.0,Excellent
STU0179,Sydney Baker,Female,4,Primary 2,83,98,88,97.42,Excellent
STU0180,Daniel Hamilton,Male,6,Primary 1,55,42,100,88.85,Needs Improvement
STU0181,Jessica Edwards,Male,4,Primary 3,72,80,87,86.65,Needs Improvement
STU0182,Catherine Dixon,Male,5,Nursery 1,56,94,47,81.29,Excellent
STU0183,Paul Ray,Female,9,Primary 1,42,65,88,84.81,Outstanding
STU0184,Jonathan Fletcher,Female,8,Primary 3,79,61,48,81.66,Satisfactory
STU0185,Aaron Frost,Male,9,Nursery 1,49,89,56,94.75,Needs Improvement
STU0186,Amanda Ball,Male,9,Nursery 2,75,53,50,87.54,Excellent
STU0187,Judy Lambert,Female,4,KG,85,43,81,88.14,Excellent
STU0188,Michael Jones,Female,4,Nursery 1,44,80,79,91.44,Needs Improvement
STU0189,Elizabeth Rivera,Male,8,Nursery 1,48,93,60,86.98,Excellent
STU0190,Lee Charles,Male,5,Primary 3,76,96,83,88.52,Excellent
STU0191,Jennifer Evans,Male,6,Primary 1,58,44,53,89.57,Satisfactory
STU0192,Kyle Ortiz,Male,3,Nursery 2,48,41,48,85.22,Satisfactory
STU0193,Richard Phillips,Male,8,Primary 4,87,75,48,81.95,Satisfactory
STU0194,David Fisher,Male,5,Nursery 1,56,85,100,96.95,Outstanding
STU0195,Shelby Byrd,Male,3,Primary 2,69,59,41,99.57,Needs Improvement
STU0196,Raven Gilbert,Female,6,Primary 2,80,72,65,88.8,Good
STU0197,Kevin Kelley,Male,10,KG,58,97,40,96.82,Needs Improvement
STU0198,Aaron Mitchell,Female,5,KG,42,57,56,99.32,Excellent
STU0199,Russell Carpenter,Female,6,Primary 2,66,84,79,82.46,Needs Improvement
STU0200,Diana Marshall,Male,9,Primary 3,55,65,65,87.29,Needs Improvement
STU0201,Scott Lewis,Male,3,Primary 2,55,81,40,84.3,Satisfactory
STU0202,Thomas Santana,Female,6,Primary 4,48,74,46,86.09,Outstanding
STU0203,Laura Jackson,Female,3,Primary 1,84,65,52,89.48,Outstanding
STU0204,Christopher Robertson,Female,3,Primary 1,100,52,53,97.17,Good
STU0205,Cynthia Rogers,Male,10,Primary 1,82,55,62,86.24,Satisfactory
STU0206,Loretta Potter,Male,5,KG,96,83,85,92.23,Satisfactory
STU0207,Emily Walker,Male,6,Nursery 2,99,53,64,81.0,Good
STU0208,James Johnson,Female,8,Primary 3,41,70,76,99.93,Needs Improvement
STU0209,John Alvarez,Male,3,Primary 4,95,56,58,99.33,Outstanding
STU0210,Melissa Jones,Female,8,Primary 1,57,85,74,95.68,Needs Improvement
STU0211,Robert Soto,Male,10,Primary 3,70,88,41,84.47,Satisfactory
STU0212,James Horton,Male,3,Primary 1,88,73,95,95.44,Needs Improvement
STU0213,Troy Sanchez,Male,7,KG,40,48,78,97.0,Good
STU0214,Diana Smith,Female,7,Nursery 2,83,61,94,85.36,Satisfactory
STU0215,Karen Carrillo,Male,8,KG,87,71,98,87.2,Excellent
STU0216,Daniel Coleman,Female,3,KG,43,58,98,81.35,Good
STU0217,Gregory Rubio,Female,5,KG,68,83,40,93.62,Satisfactory
STU0218,April Williams,Male,6,Primary 3,47,81,92,94.62,Good
STU0219,John Charles,Female,6,Primary 2,94,78,96,90.2,Excellent
STU0220,Stephen Solis,Female,7,Primary 4,100,80,57,83.76,Outstanding
STU0221,Elizabeth Travis,Male,10,Primary 4,49,43,95,84.13,Needs Improvement
STU0222,Caitlin Dodson,Female,9,Primary 2,71,45,44,86.26,Excellent
STU0223,Patricia Salazar,Female,7,Nursery 1,85,69,75,95.27,Needs Improvement
STU0224,Jennifer Wagner,Male,8,Primary 1,45,98,72,82.82,Excellent
STU0225,Maria Kelley,Female,3,Nursery 1,63,58,66,99.93,Excellent
STU0226,Phyllis Manning,Male,6,Primary 4,53,87,57,97.55,Outstanding
STU0227,Thomas Green,Female,8,Nursery 1,56,43,74,88.26,Outstanding
STU0228,John Walsh,Female,4,KG,66,100,98,90.76,Excellent
STU0229,Katie Boyd,Male,9,Nursery 2,75,57,70,88.21,Excellent
STU0230,Courtney Hill,Female,8,KG,60,71,50,94.05,Needs Improvement
STU0231,Chris Mitchell,Female,9,Nursery 2,43,43,94,82.23,Excellent
STU0232,Joseph Flores,Male,6,Nursery 1,79,96,51,92.44,Satisfactory
STU0233,Amber Taylor,Female,4,Primary 1,96,84,65,90.26,Satisfactory
STU0234,Jesse Benson,Female,5,KG,93,46,89,87.53,Excellent
STU0235,Jasmine Brown,Male,6,Nursery 2,99,96,99,89.0,Good
STU0236,Rick Daniels,Male,8,KG,57,46,66,88.1,Satisfactory
STU0237,Robert Clark,Female,3,Primary 3,71,76,67,90.17,Outstanding
STU0238,Robert Stein,Female,10,Nursery 1,53,58,42,98.88,Satisfactory
STU0239,Brandy Dominguez,Female,10,Primary 1,68,46,79,99.74,Satisfactory
STU0240,Melissa Cannon,Female,7,KG,46,65,92,84.54,Outstanding
STU0241,Omar Smith,Male,5,KG,91,62,90,96.11,Good
STU0242,Michael Molina,Female,8,Primary 4,56,83,89,98.73,Excellent
STU0243,Melissa Ashley,Male,7,Primary 4,79,41,86,82.73,Satisfactory
STU0244,Robert Adkins,Female,9,Primary 1,99,81,86,85.72,Excellent
STU0245,Amy Morrison,Female,8,Nursery 2,60,75,57,84.56,Outstanding
STU0246,Jeffrey Robinson,Female,10,Primary 3,57,63,49,93.46,Excellent
STU0247,Ryan Johnson,Female,5,KG,81,86,72,93.42,Good
STU0248,Matthew Shelton,Male,6,Nursery 2,58,79,48,87.6,Satisfactory
STU0249,Richard Martin,Female,9,KG,78,87,59,92.17,Satisfactory
STU0250,Tanner Anderson,Male,10,Nursery 1,80,69,67,86.38,Needs Improvement
STU0251,Cindy Johnson,Female,5,Primary 1,66,40,92,84.98,Satisfactory
STU0252,Phillip Elliott,Female,10,Nursery 1,99,66,67,88.61,Good
STU0253,Anthony Day,Male,7,KG,49,60,57,84.65,Excellent
STU0254,Derek Murray,Female,5,Nursery 1,58,64,52,88.16,Excellent
STU0255,Brent Gray,Female,4,Nursery 2,70,73,93,82.03,Excellent
STU0256,Jason Murphy,Female,6,Primary 2,59,49,79,94.29,Needs Improvement
STU0257,Kathleen Gray,Female,6,Nursery 1,65,45,91,85.74,Satisfactory
STU0258,Karen Decker,Male,10,Primary 2,94,40,100,86.53,Good
STU0259,Johnny Miller,Female,6,Primary 1,83,45,47,80.59,Satisfactory
STU0260,Andrew Ryan,Male,5,Nursery 1,93,100,62,83.09,Satisfactory
STU0261,Zoe Bell,Male,6,Nursery 2,80,60,83,80.41,Needs Improvement
STU0262,Debra Harrington,Female,6,Primary 2,69,48,46,99.09,Satisfactory
STU0263,Denise Webster,Male,4,Primary 3,96,100,94,82.48,Satisfactory
STU0264,Stefanie Gonzalez,Female,6,Nursery 2,65,100,44,82.04,Satisfactory
STU0265,Andrew Hernandez,Male,3,Primary 2,80,87,72,91.95,Excellent
STU0266,David Caldwell,Female,3,Primary 1,85,83,78,99.33,Outstanding
STU0267,Anne Robinson,Female,4,Primary 4,67,71,92,94.06,Satisfactory
STU0268,Holly Wang,Female,3,Nursery 1,75,99,54,88.88,Excellent
STU0269,Gary Lawson,Female,3,Nursery 1,76,93,74,92.49,Good
STU0270,Julie Wilson,Female,5,KG,54,48,82,82.43,Outstanding
STU0271,Lori Oconnell,Female,4,Primary 3,86,71,96,82.64,Needs Improvement
STU0272,Daniel Johnson,Female,6,Primary 1,67,77,95,88.32,Outstanding
STU0273,Larry Byrd,Male,4,Nursery 2,97,84,42,86.08,Good
STU0274,Susan Sanders,Male,3,Primary 3,86,73,70,86.8,Needs Improvement
STU0275,Jennifer Jones,Female,9,Primary 1,70,93,54,96.34,Excellent
STU0276,Hannah Burton,Female,10,Primary 3,42,71,43,94.35,Satisfactory
STU0277,Curtis Barton,Male,7,Primary 3,71,75,72,83.13,Good
STU0278,Melissa Burke,Female,8,Nursery 2,43,72,60,85.54,Needs Improvement
STU0279,David Riggs,Male,8,Nursery 2,74,47,42,87.53,Outstanding
STU0280,Kimberly Reed,Female,10,Primary 2,93,95,85,97.1,Outstanding
STU0281,Ross Wood,Male,6,Nursery 1,73,42,55,95.19,Satisfactory
STU0282,William Peterson,Female,9,Primary 4,93,57,77,88.07,Good
STU0283,Melissa Short,Female,4,Primary 2,90,100,44,84.44,Needs Improvement
STU0284,Daniel Yu,Female,7,Primary 1,94,89,84,85.03,Excellent
STU0285,Cynthia Poole,Male,3,Nursery 1,69,75,86,91.57,Outstanding
STU0286,Jasmine Graham,Female,8,Nursery 1,55,62,77,82.4,Satisfactory
STU0287,Jessica Sheppard,Male,10,Primary 2,41,72,65,88.63,Excellent
STU0288,Joseph Morton,Male,4,Primary 2,77,52,76,92.71,Satisfactory
STU0289,Amanda Webb,Female,7,Nursery 1,48,63,57,96.76,Outstanding
STU0290,Ryan Simon,Male,5,Primary 2,89,99,72,81.5,Satisfactory
STU0291,Joseph Christian,Female,6,Primary 3,46,82,47,95.86,Good
STU0292,Mariah Miller,Female,8,Nursery 1,96,48,64,95.67,Good
STU0293,Nicole Sanchez,Female,5,KG,90,58,61,94.08,Needs Improvement
STU0294,Steven Bishop,Female,5,Nursery 2,86,76,58,88.69,Outstanding
STU0295,Nicholas Johnson,Male,4,Primary 2,95,41,81,98.01,Satisfactory
STU0296,Melissa White,Female,9,Primary 4,41,65,51,81.85,Good
STU0297,Jason Salinas,Male,6,Primary 2,45,77,72,89.9,Excellent
STU0298,Matthew Beard,Female,7,Primary 3,82,96,53,93.27,Excellent
STU0299,Jacqueline Hill,Male,4,Nursery 1,49,73,43,87.03,Needs Improvement
STU0300,Alejandro Vaughan,Male,7,Primary 3,59,40,89,96.76,Excellent
STU0301,Christopher Cortez,Male,8,Primary 1,40,60,71,85.09,Satisfactory
STU0302,Tracy Chang,Female,4,Nursery 1,82,58,69,97.18,Excellent
STU0303,Hannah Brewer,Female,3,Primary 3,55,68,45,82.87,Satisfactory
STU0304,Travis Mcguire,Male,5,Primary 3,77,43,86,90.68,Good
STU0305,Christopher Walker,Male,6,Nursery 1,42,76,60,85.51,Needs Improvement
STU0306,Heather Torres,Male,7,KG,71,81,80,98.49,Good
STU0307,Bonnie Kennedy,Male,9,Nursery 2,90,67,100,94.56,Good
STU0308,Alyssa Coleman,Male,5,Primary 3,63,75,90,94.77,Good
STU0309,Julie Rivera,Male,6,Primary 3,49,83,59,83.27,Outstanding
STU0310,Jacqueline Nelson,Male,7,KG,47,54,90,88.72,Satisfactory
STU0311,John Martinez,Female,10,KG,95,80,97,81.51,Outstanding
STU0312,James Wilson,Male,5,Primary 2,70,51,60,82.13,Needs Improvement
STU0313,Amanda Gill,Male,4,Primary 3,79,40,83,85.84,Excellent
STU0314,Jacob Robinson,Male,4,Nursery 1,100,84,56,92.31,Good
STU0315,Todd Hardy,Male,8,Nursery 2,91,48,87,82.96,Good
STU0316,Tiffany Warren,Female,3,KG,85,82,64,82.43,Satisfactory
STU0317,Justin Garcia,Male,5,Primary 1,71,98,46,81.04,Good
STU0318,James Perez,Male,7,Primary 3,84,68,75,91.52,Excellent
STU0319,Harry Smith,Male,10,Primary 4,90,94,59,93.18,Good
STU0320,Amanda Hill,Male,7,KG,90,67,59,83.35,Excellent
STU0321,Terri Tran,Female,9,Primary 2,59,42,41,89.05,Satisfactory
STU0322,Heidi Martinez,Female,9,Nursery 2,97,96,41,93.07,Good
STU0323,Miranda Henry,Male,7,Primary 1,58,80,100,80.64,Outstanding
STU0324,Monique Andrews,Male,3,Primary 1,56,92,60,94.92,Good
STU0325,Taylor Alexander,Male,8,Primary 1,75,46,60,91.58,Satisfactory
STU0326,Jack Williams,Male,7,KG,95,43,56,95.16,Outstanding
STU0327,Shelley Woods,Female,4,KG,51,89,67,87.26,Satisfactory
STU0328,Lynn Morales,Male,7,Nursery 1,47,80,87,91.25,Good
STU0329,Charles Soto,Male,6,KG,89,67,57,88.45,Satisfactory
STU0330,Brian Hernandez,Female,6,Nursery 2,83,65,75,99.0,Excellent
STU0331,Anna Torres,Male,6,KG,71,43,83,80.05,Needs Improvement
STU0332,Victoria Wilson,Female,4,Nursery 2,93,44,57,82.27,Outstanding
STU0333,Kathy Obrien,Male,9,KG,67,67,70,94.65,Excellent
STU0334,Krystal Perez,Male,10,Primary 3,91,43,44,83.81,Satisfactory
STU0335,Alexandra Hayes,Male,3,Nursery 1,44,69,89,81.0,Good
STU0336,Scott Dalton,Male,10,KG,54,71,85,86.07,Needs Improvement
STU0337,Veronica Torres,Male,9,Primary 4,85,98,100,94.99,Excellent
STU0338,Christine Lynch,Male,3,Nursery 1,62,85,66,95.9,Excellent
STU0339,Jody Meza,Female,4,Nursery 2,67,60,96,98.63,Good
STU0340,Jared Clark,Female,7,KG,72,51,67,97.39,Satisfactory
STU0341,Donna Moore,Male,4,Primary 3,95,79,68,90.93,Satisfactory
STU0342,Glenn Jones,Female,4,Primary 2,88,59,47,94.43,Excellent
STU0343,Aaron Hayes,Female,7,KG,78,61,42,86.02,Outstanding
STU0344,Brittney Carter,Female,6,Primary 3,65,79,60,81.48,Good
STU0345,Jesse Mann,Female,8,Primary 2,91,80,54,88.43,Good
STU0346,Jacqueline Gibson,Female,5,Primary 4,85,78,63,89.59,Good
STU0347,Grace Bradshaw,Male,7,Primary 4,83,60,48,89.52,Excellent
STU0348,Kristin Weber,Male,4,Nursery 2,96,56,43,82.06,Excellent
